,Año,Categoría,País,Género,¿Cómo se enteró?,Referencia Dispositivo
939,2016,Aficionado,Colombia,drama,Amigo,"Huawei P7, Motorola MotoG, Samsung S5mini"
941,2016,Aficionado,Colombia,suspenso,Amigo,Sony Xperia ZL
942,2016,Aficionado,Colombia,terror,Amigo,nokia lumia 520
943,2016,Aficionado,Colombia,drama,Redes Sociales,"Moto G3, Asus zenfone 2"
944,2016,Aficionado,Colombia,drama,Radio,"Moto g 3, Iphone 5."
945,2016,Aficionado,Colombia,ficcion,Amigo,3012412417
946,2016,Aficionado,Colombia,drama,Amigo,Iphone 6s
947,2016,Aficionado,Colombia,ficcion,Internet,SAMSUNG S6 EDGE - HUAWEI P7
948,2016,Aficionado,Colombia,drama,Amigo,Alcatel onetouch
949,2016,Aficionado,Colombia,drama,Amigo,samsung galaxy s4
950,2016,Aficionado,Internacional,documental,Prensa,Samsung S6/ Iphone 5
951,2016,Aficionado,Colombia,ficcion,Internet,Sony Xperia M4 Aqua
952,2016,Aficionado,Colombia,drama,Internet,Iphone 6
954,2016,Aficionado,Colombia,ficcion,Internet,iPhone 5s & iPhone 5
955,2016,Aficionado,Colombia,Suspenso/APOCALÍPTICA Y MISTERIO,Amigo,blackberry z10
956,2016,Aficionado,Colombia,drama,Televisión,Sony Xperia M2
957,2016,Aficionado,Colombia,accion,Radio,Samsung Galaxy s5 y Iphone 5s
958,2016,Aficionado,Colombia,ficcion,Televisión,microsoft lumia 640.
959,2016,Aficionado,Colombia,drama,Internet,ZTE Blade G Lux
960,2016,Aficionado,Colombia,drama,Amigo,Iphone 6
961,2016,Aficionado,Colombia,comedia,Redes Sociales,"Samsung Galaxy Note 4, Samsung Galaxy S5, Lenovo A6000"
962,2016,Aficionado,Colombia,suspenso,Internet,iphone 6s
963,2016,Aficionado,Colombia,suspenso,Redes Sociales,"Sony Xperia Z1, Samsung Galaxy S3 Mini, LG Optimus G E975"
964,2016,Aficionado,Colombia,drama,Amigo,IPHONE 6
965,2016,Aficionado,Colombia,drama,Amigo,"SAMSUNG A5, HUAWEI P7, SAMSUNG GRAND2, HUAWEI G630."
966,2016,Aficionado,Colombia,accion,Internet,Huawei p8 - iPhone 4
967,2016,Aficionado,Colombia,drama,Amigo,SAMSUNG GALAXY A5
968,2016,Aficionado,Colombia,suspenso,Redes Sociales,SONY XPERIA Z5 PREMI
969,2016,Aficionado,Colombia,comedia,Otra,iPhone 6s plus
970,2016,Aficionado,Colombia,drama,Televisión,LG g4 y LG K10
971,2016,Aficionado,Colombia,drama,Amigo,iPhone 5s
972,2016,Aficionado,Colombia,drama,Amigo,Samsung Galaxy Note 5
973,2016,Aficionado,Colombia,drama,Internet,Galaxy tab 4
974,2016,Aficionado,Colombia,drama,Otra,Samsung Galaxy Grand Prime
975,2016,Aficionado,Colombia,comedia,Amigo,Iphone 5S
976,2016,Aficionado,Colombia,ficcion,Internet,Wiko
977,2016,Aficionado,Colombia,documental,Amigo,Moto G3
978,2016,Aficionado,Colombia,suspenso,Redes Sociales,Moto G3
979,2016,Aficionado,Colombia,drama,Internet,sony m4 agua
980,2016,Aficionado,Colombia,drama,Televisión,Moto g
981,2016,Aficionado,Colombia,drama,Amigo,LG G4 BEAT
982,2016,Aficionado,Colombia,drama,Amigo,samsung s5
983,2016,Aficionado,Colombia,drama,Amigo,Iphone 6
984,2016,Aficionado,Colombia,accion,Radio,"Samsung galaxy J7, zte brade L3"
985,2016,Aficionado,Colombia,drama,Amigo,"Iphone 6 plus (video), samsung ace j1 (audio) y sony m4 aqua (making of)"
986,2016,Aficionado,Colombia,documental,Amigo,iPhone 6 - Samsung J5
987,2016,Aficionado,España,drama,Redes Sociales,Iphone 6 plus
988,2016,Aficionado,Colombia,suspenso,Amigo,Huawei G7-L03 y Samsung Galaxy S4 mini
989,2016,Aficionado,Colombia,ficcion,Televisión,SONY Xperia Z2 - iPhone 4s
990,2016,Aficionado,Colombia,suspenso,Prensa,iPHONE 6S
991,2016,Aficionado,Republica Dominicana,suspenso,Redes Sociales,LG G2 MODELO D-802
992,2016,Aficionado,Colombia,drama,Televisión,Iphone 6s
993,2016,Aficionado,Colombia,terror,Amigo,iphone 5s
994,2016,Aficionado,Colombia,ficcion,Radio,Huawei p8 Gra - L09
995,2016,Aficionado,Colombia,suspenso,Amigo,Haweii g610o15
996,2016,Aficionado,Colombia,documental,Prensa,iPhone 6 16GB
997,2016,Aficionado,Colombia,ficcion,Amigo,iPhone 6
998,2016,Aficionado,Colombia,terror,Amigo,nokia lumia 520
999,2016,Aficionado,Colombia,drama,Internet,Sony Xperia M4 Aqua y HTC One M8
1000,2016,Aficionado,Colombia,drama,Internet,(TABLET HUAWEI MediaPad 10 Link+) ( ZTE V765M)
1001,2016,Aficionado,Colombia,drama,Televisión,Iphone 6s plus ; Samsung Galaxy J5
1002,2016,Aficionado,Colombia,documental,Amigo,Samsung core prime
1003,2016,Aficionado,Colombia,drama,Amigo,Motorola primera generación-Galaxy NOTE 4-Samsung Galaxy Ace-Avvio 787
1004,2016,Aficionado,Colombia,drama,Prensa,iPhone 6S
1005,2016,Aficionado,Colombia,drama,Amigo,samsung galaxy j2
1006,2016,Aficionado,Colombia,documental,Amigo,sm-g355m/ds
1007,2016,Aficionado,Colombia,comedia,Amigo,BLU movistarg3
1008,2016,Aficionado,Colombia,drama,Amigo,Samsung Galaxy Grand Prime 4G -- Samsung Galaxy Grand Prime Duos.
1009,2016,Aficionado,Colombia,suspenso,Amigo,Samsung Galaxy S6
1010,2016,Aficionado,Colombia,drama,Televisión,Samsung Galaxy Note 3 y Samsung Galaxy J7
1011,2016,Aficionado,Colombia,comedia,Amigo,IPHONE 6 - SAMSUNG 4 ACE neo - motorola segunda generación
1012,2016,Aficionado,Colombia,terror,Televisión,Samsung galaxia s4
1013,2016,Aficionado,Colombia,drama,Internet,HTC M8
1014,2016,Aficionado,Colombia,drama,Internet,IPHONE 6 PLUS (GRABACIÓN) - SAMSUNG GALAXY ACE 4 NEO (MAKING OF) - SAMSUNG GALAXY S4 (SONIDO)
1015,2016,Aficionado,Colombia,comedia,Amigo,IPHONE 6 - SAMSUNG 4 ACE neo - motorola segunda generación
1016,2016,Aficionado,Colombia,drama,Amigo,MOTOROLA X2 Y HUAWEI ALE-L23
1017,2016,Aficionado,Colombia,drama,Televisión,Nokia lumia denim - Samsung Galaxy J1
1018,2016,Aficionado,Colombia,drama,Amigo,HTC DESIRE EYE
1019,2016,Aficionado,Colombia,drama,Internet,Iphone 6 s
1020,2016,Aficionado,Colombia,drama,Televisión,samsung grand prime
1021,2016,Aficionado,Colombia,drama,Amigo,Iphone 6
1022,2016,Aficionado,Colombia,drama,Amigo,nokia lumia 520
1023,2016,Aficionado,Colombia,documental,Amigo,Iphone 4s y 5s
1024,2016,Aficionado,Colombia,accion,Redes Sociales,Iphone 4s - Samsung Galaxy Grand Prime
1025,2016,Aficionado,Colombia,drama,Televisión,SANSUM J5
1026,2016,Aficionado,Colombia,drama,Internet,3004727197
1027,2016,Aficionado,Colombia,drama,Televisión,IPHONE 6
1028,2016,Aficionado,Colombia,drama,Amigo,Iphone 6
1029,2016,Aficionado,Colombia,ficcion,Amigo,Huawei P8
1030,2016,Aficionado,Colombia,drama,Otra,"Iphone 6, Samsung Galaxy A3"
1031,2016,Aficionado,Colombia,terror,Amigo,nokia lumia 520
1032,2016,Aficionado,Colombia,ficcion,Amigo,Huawei p8
1033,2016,Aficionado,Colombia,ficcion,Amigo,"Huawei P7, Sony Z1"
1034,2016,Aficionado,Colombia,terror,Televisión,Sony Xpiria modelo C2104 Version de android 4.2.2
1035,2016,Aficionado,Colombia,terror,Televisión,SAMSUNG GALAXY GRAND PRIME
1036,2016,Aficionado,Colombia,drama,Amigo,Samsung Grand 2
1037,2016,Aficionado,Colombia,drama,Internet,"Iphone 6, Samsung S6"
1038,2016,Aficionado,Colombia,drama,Radio,Motorola Moto X play - Samsung Galaxy Grand Duos
1039,2016,Aficionado,Colombia,ficcion,Amigo,samsung galaxy j1 mini
1040,2016,Aficionado,Colombia,drama,Televisión,iphone 6
1041,2016,Aficionado,Colombia,suspenso,Internet,Samsung galaxy s6 edge
1042,2016,Aficionado,Colombia,drama,Redes Sociales,Samsung Galaxy S5
1043,2016,Aficionado,Colombia,drama,Otra,Samsung Galaxy Grand Prime (Sm-G530)
1044,2016,Aficionado,Colombia,suspenso,Televisión,MOTOROLA Y LG
1045,2016,Aficionado,Colombia,drama,Redes Sociales,"MOTO G2, HUAWEI, MOTOG3"
1046,2016,Aficionado,Colombia,comedia,Amigo,Iphone 5 y Iphone 5s
1047,2016,Aficionado,Colombia,drama,Otra,iphone 5
1048,2016,Aficionado,Colombia,terror,Otra,IPHONE 6
1049,2016,Aficionado,Colombia,accion,Televisión,ALCATEL ONE TOUCH POP C7
1050,2016,Aficionado,Colombia,drama,Internet,Avvio 793 - Motorola XT
1051,2016,Aficionado,Colombia,comedia,Radio,Samsung Galaxy S4
1052,2016,Aficionado,Colombia,Ficción,Internet,iPhone 5
1053,2016,Aficionado,Colombia,ficcion,Radio,"HUAWEI, LG, ZOOM"
1054,2016,Aficionado,Colombia,comedia,Amigo,Samsung Galaxy S5 y Avvio 795
1055,2016,Aficionado,Colombia,drama,Internet,Huawei P7
1056,2016,Aficionado,Colombia,ficcion,Internet,"Nokia 520, Sony Xperia M2"
1057,2016,Aficionado,Colombia,Suspenso,Amigo,samsung galaxy s4
1058,2016,Aficionado,Colombia,documental,Radio,iPhone 6
1059,2016,Aficionado,Colombia,terror,Internet,iPhone 6 Plus
1060,2016,Aficionado,Colombia,ficcion,Prensa,Motorola moto x play
1061,2016,Aficionado,Colombia,ficcion,Amigo,"LG Spirit, Huawei y360"
1062,2016,Aficionado,Colombia,ficcion,Internet,samsung s5
1063,2016,Aficionado,Colombia,drama,Amigo,"Samsung Galaxy S5, Lenovo s820, Sony M2 Aqua"
1064,2016,Aficionado,Colombia,drama,Otra,"Ipod Touch 5 , Ipad 4"
1065,2016,Aficionado,Colombia,drama,Internet,Samsung core2 y Moto G 3generación
1066,2016,Aficionado,Colombia,suspenso,Amigo,"IPHONE 6S, IPHONE 6"
1067,2016,Aficionado,Colombia,documental,Televisión,Ipod Touch 5G
1068,2016,Aficionado,Colombia,drama,Amigo,Sony c5 Samsum Galaxy s4
1069,2016,Aficionado,Colombia,Suspenso,Internet,Samsung Galaxy 6
1070,2016,Aficionado,Colombia,accion,Internet,soni samsum azumi
1071,2016,Aficionado,Colombia,drama,Redes Sociales,"samsung galaxy s5,Samsung Galaxy Grand Prime Duos"
1072,2016,Aficionado,Internacional,documental,Amigo,Nokia 620 Lumia / Vtelca Caribe 4
1073,2016,Aficionado,Colombia,drama,Redes Sociales,HUAWEI P8 - SAMSUNG GALAXYS4
1074,2016,Aficionado,Colombia,drama,Televisión,Moto G3
1075,2016,Aficionado,Colombia,drama,Amigo,Samsung S4 Mini
1076,2016,Aficionado,Colombia,drama,Otra,Sony xperia z2a
1077,2016,Aficionado,España,documental,Internet,Sony Xperia Z2
1078,2016,Aficionado,Colombia,drama,Amigo,Xperia m4 aqua
1079,2016,Aficionado,Colombia,documental,Amigo,Samsung Galaxy s6 edge
1080,2016,Aficionado,Colombia,suspenso,Otra,Samsung Galaxy S6
1081,2016,Aficionado,Colombia,suspenso,Radio,MOTOROLA MOTO G
1082,2016,Aficionado,Colombia,drama,Internet,iphone cs5
1083,2016,Aficionado,Colombia,accion,Prensa,3154934442
1084,2016,Aficionado,Colombia,comedia,Redes Sociales,Motorola Moto G (3.Âª gen.) Y Motorola Moto G (1.Âª gen.)
1085,2016,Aficionado,Estados Unidos,drama,Amigo,Iphone 6s
1086,2016,Aficionado,Colombia,ficcion,Radio,X-BO modelo: V9+
1087,2016,Aficionado,Colombia,drama,Internet,Iphone 5
1088,2016,Aficionado,Colombia,ficcion,Otra,Lumia 520
1089,2016,Aficionado,Colombia,documental,Amigo,IPHONE 6S PLUS
1090,2016,Aficionado,Colombia,terror,Internet,Iphone 6
1092,2016,Aficionado,Colombia,accion,Radio,Huawei G Play
1093,2016,Aficionado,Colombia,suspenso,Amigo,Samsung Galaxy S5
1094,2016,Aficionado,Colombia,ficcion,Amigo,Iphone 5S
1095,2016,Aficionado,Colombia,ficcion,Televisión,IPHONE 6
1096,2016,Aficionado,Colombia,documental,Televisión,MOTOROLA SEGUNDA GENERACION Y EL SAMSUMG J5
1097,2016,Aficionado,España,Documental,Internet,Motorola G 2014
1098,2016,Aficionado,Colombia,suspenso,Televisión,iphone 6
1099,2016,Aficionado,Colombia,drama,Amigo,iphone 5 y Iphone 4s
1100,2016,Aficionado,Colombia,drama,Televisión,Motorola Moto G (3rd Gen)
1101,2016,Aficionado,Colombia,accion,Internet,Huawei G7_L03
1102,2016,Aficionado,Colombia,drama,Redes Sociales,Motorola xt 1102 - Motorola moto g2 xt 1068
1103,2016,Aficionado,Colombia,suspenso,Amigo,LG-G4 BEAT
1104,2016,Aficionado,España,Drama,Internet,iPhone 5
1105,2016,Aficionado,Colombia,ficcion,Radio,SONY Xperia M2
1106,2016,Aficionado,Colombia,comedia,Amigo,I PHONE IPHONE 62
1107,2016,Aficionado,Colombia,comedia,Televisión,MOTOROLA G 2ND GENERATION
1108,2016,Aficionado,Colombia,suspenso,Televisión,samsung galaxy 7
1109,2016,Aficionado,Colombia,drama,Otra,"LG Bello II, Samsung Galaxy S3 - GT19300"
1110,2016,Aficionado,Colombia,documental,Internet,Samsung Galaxy Grand
1111,2016,Aficionado,Colombia,suspenso,Amigo,Corto: Huawei G7L03 - Making off: Samsung Ace 4 y Acer iconia ( Tablet)
1112,2016,Aficionado,Colombia,drama,Radio,"Iphone 6, Motorola moto X 2Âª generación"
1113,2016,Aficionado,Colombia,ficcion,Televisión,Iphone 6
1114,2016,Aficionado,Colombia,suspenso,Internet,Huawei G735-l23 / samsung s3 mini
1115,2016,Aficionado,Colombia,terror,Internet,Samsung Galaxy J2
1116,2016,Aficionado,Colombia,drama,Redes Sociales,motorola motog (tercera generacio0n)
1117,2016,Aficionado,Colombia,drama,Otra,HTC one M7
1118,2016,Aficionado,Colombia,comedia,Internet,Iphone 6 - Samsung Galaxy J5 - Samsung Galaxy J3
1119,2016,Aficionado,Colombia,drama,Redes Sociales,Huawei P8 lite- ipod 5
1120,2016,Aficionado,Colombia,drama,Televisión,"huawie y 530, tablet touch"
1121,2016,Aficionado,Colombia,accion,Amigo,Samsung ace j1 y Huawei Ascend G630 americano
1122,2016,Aficionado,Colombia,drama,Internet,"Huawei P8. cámara trasera de 13 megapixels , cámara frontal de 8 MP,"
1123,2016,Aficionado,Colombia,accion,Amigo,iPhone 6S
1124,2016,Aficionado,Colombia,accion,Internet,SONY Z 3
1125,2016,Aficionado,Colombia,suspenso,Otra,Moto G tercera generacion
1126,2016,Aficionado,Colombia,suspenso,Amigo,sansung s7 edge
1127,2016,Aficionado,Colombia,drama,Amigo,Motorola G3
1128,2016,Aficionado,Colombia,documental,Internet,"Huawei G Play mini, Nokia lumia 1320, LG prime 2, Samsung galaxy grand prime, Motorola moto x"
1129,2016,Aficionado,Colombia,drama,Televisión,Samsung Galaxy S6 EDGE
1130,2016,Aficionado,Colombia,drama,Redes Sociales,"samsung galaxy grand prime, HTC 0NE M8, IPHONE 4S"
1131,2016,Aficionado,Colombia,suspenso,Radio,Huawei P8
1132,2016,Aficionado,Colombia,drama,Amigo,motorola g 2
1133,2016,Aficionado,Colombia,drama,Amigo,Samsung Galaxy S5 Mini y Samsung Grand Prime
1134,2016,Aficionado,Colombia,drama,Redes Sociales,Samsumg Galaxi J7 y Samsumg Galaxi S5
1135,2016,Aficionado,Colombia,drama,Radio,"Iphone 6, Tablet Samsung y Huawei G730"
1136,2016,Aficionado,Colombia,terror,Internet,Samsung j5
1137,2016,Aficionado,Colombia,drama,Amigo,Samsung Gran Neo Plus
1138,2016,Aficionado,Colombia,documental,Televisión,Iphone 5s - Samsumg Galaxy Grand Prime
1139,2016,Aficionado,Venezuela,accion,Redes Sociales,iPhone 6s Plus
1140,2016,Aficionado,Colombia,suspenso,Internet,Iphone 6
1141,2016,Aficionado,Colombia,drama,Amigo,nokia lumia 520
1142,2016,Aficionado,Colombia,ficcion,Internet,"Huawei P7, Samsung J7, Iphone 4s"
1143,2016,Aficionado,Colombia,ficcion,Amigo,blackberry z10
1144,2016,Aficionado,Colombia,drama,Redes Sociales,IPHONE 5 PARA EL CORTO Y HUAWEI P7 PARA EL MAKING OF
1145,2016,Aficionado,Colombia,drama,Amigo,Iphone 6
1146,2016,Aficionado,Colombia,drama,Amigo,MOTO X2
1147,2016,Aficionado,Colombia,drama,Redes Sociales,iPhone 6S
1148,2016,Aficionado,Colombia,drama,Amigo,"Samsung Galaxy 4 Mini , Huawei Y360"
1149,2016,Aficionado,Colombia,drama,Amigo,Huawei P7
1150,2016,Aficionado,Colombia,drama,Redes Sociales,"iphon 5, samsug"
1151,2016,Aficionado,Colombia,suspenso,Amigo,Samsung S4 y Samsung S5
1152,2016,Aficionado,Colombia,suspenso,Prensa,"Iphone 6, Lenovo tablet, Huawei P8, LG L-Bello"
1153,2016,Aficionado,Colombia,drama,Amigo,Iphone 6 y Iphone 4S
1155,2016,Aficionado,Colombia,drama,Internet,"ZTE blade v6, Samsug J5"
1156,2016,Aficionado,Colombia,drama,Amigo,Iphone 6 - Samsung Galaxy Grand Prime
1157,2016,Aficionado,Colombia,suspenso,Internet,Samsung Galaxy S6 Edge
1158,2016,Aficionado,Colombia,drama,Redes Sociales,Sony Xperia E3
1159,2016,Aficionado,Colombia,suspenso,Internet,Xperia Z1
1160,2016,Aficionado,Colombia,suspenso,Redes Sociales,"Huawei P8, Motorola G3"
1161,2016,Aficionado,Colombia,drama,Amigo,Huawei G Play
1162,2016,Aficionado,Colombia,comedia,Amigo,Iphone 4
1163,2016,Aficionado,Colombia,documental,Amigo,Iphone 6 Plus
1164,2016,Aficionado,Colombia,suspenso,Amigo,LG Stylus G4
1165,2016,Aficionado,Colombia,comedia,Radio,iPhone 5
1166,2016,Aficionado,Colombia,drama,Redes Sociales,IPHONE 6
1167,2016,Aficionado,Colombia,documental,Televisión,Galaxy S3 GT-I9300
1168,2016,Aficionado,Colombia,documental,Amigo,"Iphone 5, Nokia 520"
1169,2016,Aficionado,Colombia,comedia,Internet,3187854531
1170,2016,Aficionado,Colombia,drama,Otra,moto G4 Y Iphone 4
1171,2016,Aficionado,Colombia,drama,Televisión,Tableta Samsung Galaxy Tab 3
1172,2016,Aficionado,Colombia,accion,Internet,Iphone 5
1173,2016,Aficionado,Colombia,suspenso,Amigo,nokia lumia 520
1174,2016,Aficionado,Colombia,suspenso,Internet,Huawei p8 Lite
1175,2016,Aficionado,Colombia,comedia,Internet,Alcatel Pixi 3
1176,2016,Aficionado,Colombia,Drama,Redes Sociales,Iphone 5 & Ipad Air 2
1177,2016,Aficionado,Colombia,ficcion,Internet,Asus
1178,2016,Aficionado,Colombia,Comedia,Radio,"Iphone 5s , Ipad Air"
1179,2016,Aficionado,Colombia,documental,Amigo,Huawei G6
1180,2016,Aficionado,Colombia,drama,Internet,IPhone 6s
1181,2016,Aficionado,Colombia,ficcion,Amigo,iPhone 4s y Windows Phone X8 by htc.
1182,2016,Aficionado,Colombia,documental,Televisión,"Samsung J1, Windows Phone 620."
1183,2016,Aficionado,Colombia,drama,Amigo,Ipad Air
1184,2016,Aficionado,Colombia,drama,Internet,"Iphone 6, ipad mini 2."
1185,2016,Aficionado,Colombia,drama,Amigo,Sony v10
1186,2016,Aficionado,Francia,accion,Otra,ipone 6s
1187,2016,Aficionado,Colombia,drama,Televisión,Iphone 6 plus S
1188,2016,Aficionado,Colombia,accion,Amigo,"samsung, sony, azumi"
1189,2016,Aficionado,Colombia,drama,Amigo,samsung galaxy s4 - samsung galaxy s6
1190,2016,Aficionado,Colombia,drama,Amigo,moto G
1191,2016,Aficionado,Colombia,comedia,Amigo,LG G3 Beat y Samsung galaxy core 2
1192,2016,Aficionado,Colombia,drama,Internet,Sony Xperia z2
1193,2016,Aficionado,Colombia,ficcion,Internet,"Iphone 5, Iphone 6"
1194,2016,Aficionado,Colombia,drama,Amigo,Samsung Galaxy S5 Mini
1195,2016,Aficionado,Colombia,documental,Radio,samsumg galaxy s3 neo gt I9301I - nokia lumia 635
1196,2016,Aficionado,Colombia,ficcion,Internet,iPhone 6
1197,2016,Aficionado,Colombia,accion,Internet,SAMSUNG GALAXY CORE PRIME - SAMSUNG GALAXY GRAND PRIME
1198,2016,Aficionado,Colombia,drama,Internet,iphone 5
1199,2016,Aficionado,Colombia,drama,Radio,Galaxy S 6 Edge
1200,2016,Aficionado,Colombia,terror,Radio,HUAWEI G6 L 33
1201,2016,Aficionado,Colombia,comedia romantica,Amigo,Iphone 4s y Iphone 5 s
1202,2016,Aficionado,Colombia,drama,Amigo,ZTE Blade V6
1203,2016,Aficionado,Colombia,ficcion,Amigo,"SAMSUMG GALAXI S6, SAMSUMG GALAXY S5MINI,IPHONE 4"
1204,2016,Aficionado,Colombia,documental,Amigo,iPhone 6
1205,2016,Aficionado,Colombia,documental,Redes Sociales,Samsung Galaxy Note 4
1206,2016,Aficionado,Colombia,drama,Redes Sociales,SAMSUNG GALAXY S6 EDGE
1207,2016,Aficionado,Colombia,drama,Amigo,Samsung galaxy grand 2 SM-G7105L
1208,2016,Aficionado,Colombia,drama,Televisión,ASUS ZENFONE 2 LASER ZE551 KL
1209,2016,Aficionado,Colombia,suspenso,Internet,"Moto G 3ra generación, IPhone 4S"
1210,2016,Aficionado,Colombia,documental,Internet,Samsung Galaxy S5 SM-G900M Samsung Galaxy J1ace SM-J110M Samsung Galaxy J5 SM-J500M Samsung Galaxy J
1211,2016,Aficionado,Colombia,ficcion,Amigo,Samsung Galaxy Core 2
1212,2016,Aficionado,Colombia,drama,Amigo,Iphone 6
1213,2016,Aficionado,Colombia,drama,Amigo,iPhone 6s
1214,2016,Aficionado,Colombia,drama,Redes Sociales,"iPad mini, iPhone 6"
1215,2016,Aficionado,Colombia,accion,Televisión,Moto x
1216,2016,Aficionado,Colombia,drama,Amigo,"IPhone 5S, Nokia Lumia 520"
1217,2016,Aficionado,Colombia,ficcion,Internet,Samsung S3 y Iphone 6S
1218,2016,Aficionado,Colombia,suspenso,Internet,Sony Xperia m2 aqua
1219,2016,Aficionado,Colombia,drama,Internet,3188404488
1220,2016,Aficionado,Colombia,accion,Televisión,samsung galaxy s5
1221,2016,Aficionado,Colombia,comedia,Amigo,Samsung S4 Mini
1222,2016,Aficionado,Colombia,accion,Amigo,"samsung galaxi s5, sony z3"
1223,2016,Aficionado,México,ficcion,Internet,Iphone 6
1225,2016,Profesional,Colombia,drama,Redes Sociales,"IPhone 4, IPhone 4s, IPhone 5, LG G4 STYLUS, SAMSUNG GALAXY ACE"
1226,2016,Profesional,Colombia,ficcion,Internet,Iphone SE
1227,2016,Profesional,Colombia,drama,Internet,iPhone 6S
1228,2016,Profesional,Colombia,terror,Redes Sociales,Iphone 6S
1229,2016,Profesional,Colombia,ficcion,Internet,Iphone 6
1230,2016,Profesional,Colombia,drama,Televisión,IPHONE 6
1232,2016,Profesional,Colombia,drama,Amigo,Iphone 6
1233,2016,Profesional,Colombia,drama,Amigo,iPhone 6
1234,2016,Profesional,Colombia,drama,Redes Sociales,IPHONE 5 Y TABLETA IPAD MINI
1235,2016,Profesional,Colombia,drama,Internet,Samsung Galaxy S6
1236,2016,Profesional,Colombia,drama,Internet,Iphone 6s
1237,2016,Profesional,Colombia,drama,Internet,iPhone 6s
1238,2016,Profesional,Colombia,suspenso,Internet,Samsung J5
1239,2016,Profesional,Colombia,accion,Redes Sociales,"IPHONE 6, HUAWEI G8, HUAWEI P8, SONY XPERIA Z3"
1240,2016,Profesional,Colombia,ficcion,Radio,Samsung Galaxy Grand Prime
1241,2016,Profesional,Colombia,documental,Redes Sociales,iPhone 5s
1242,2016,Profesional,Colombia,suspenso,Radio,Huawei P7 - L12 Ascend
1243,2016,Profesional,Colombia,accion,Redes Sociales,I-Phone 6s
1244,2016,Profesional,Colombia,drama,Internet,IPhone 6 - IPhone 6plus - Sony Xperia M4
1245,2016,Profesional,Colombia,drama,Internet,Iphone 6
1246,2016,Profesional,Colombia,drama,Amigo,"Iphon5, Iphon6"
1247,2016,Profesional,Colombia,suspenso,Internet,Iphone 6 y Samsung A5
1248,2016,Profesional,Colombia,drama,Internet,LG OPTIMUS G2
1249,2016,Profesional,Colombia,drama,Internet,SONY xperia Z3 - iPhone 6
1250,2016,Profesional,Colombia,ficcion,Amigo,sony z5 compact
1251,2016,Profesional,Colombia,comedia,Internet,Samsung Galaxy S7 Edge
1252,2016,Profesional,Colombia,ficcion,Internet,LG-E 977
1253,2016,Profesional,Colombia,accion,Internet,"IPHONE 6S PLUS, HUAWEI P7,"
1254,2016,Profesional,Colombia,drama,Internet,Samsung J7
1255,2016,Profesional,Colombia,drama,Redes Sociales,Sony Xperia M4 Aqua
1256,2016,Profesional,Colombia,ficcion,Internet,Iphone 6s
1257,2016,Profesional,Colombia,drama,Internet,Iphone SE
1258,2016,Profesional,Colombia,drama,Redes Sociales,Iphone 6
1259,2016,Profesional,Colombia,drama,Televisión,Samsung Galaxy J1
1260,2016,Profesional,Colombia,drama,Amigo,Iphone 6s
1261,2016,Profesional,Colombia,drama,Amigo,I PHONE 6S
1262,2016,Profesional,Colombia,terror,Redes Sociales,IPhone 6S
1263,2016,Profesional,Colombia,documental,Radio,"OnePlus One, SONY xperia z1"
1264,2016,Profesional,Colombia,drama,Amigo,Moto g 2 generación.
1265,2016,Profesional,Colombia,ficcion,Internet,Iphone 6
1266,2016,Profesional,Colombia,Ciencia ficción,Internet,Iphone 4s
1267,2016,Profesional,Colombia,suspenso,Amigo,"Iphone 5, LG G3 Beat,"
1268,2016,Profesional,Colombia,accion,Redes Sociales,Iphone 5s y Iphone 4
1269,2016,Profesional,Colombia,ficcion,Redes Sociales,Samsung Galaxy J7
1270,2016,Profesional,Brasil,documental,Amigo,Iphone 5
1271,2016,Profesional,Colombia,comedia,Amigo,3002047924
1272,2016,Profesional,Colombia,ficcion,Amigo,sony z3 plus
1273,2016,Profesional,Colombia,ficcion,Redes Sociales,IPhone 6 y IPhone 5S
1274,2016,Profesional,Colombia,ficcion,Amigo,iPhone 6s
1275,2016,Profesional,Colombia,comedia romantica,Radio,Sony Z3
1276,2016,Profesional,Colombia,comedia,Amigo,Iphone 5S
1277,2016,Profesional,Colombia,comedia,Amigo,iphone 6
1278,2016,Profesional,Colombia,ficcion,Amigo,apple iphone 6s plus 16 GB silver
1279,2016,Profesional,Colombia,drama,Amigo,Ipad mini y Asus zenfone 2
1280,2016,Profesional,Colombia,drama,Amigo,Iphone 5
1281,2016,Profesional,Colombia,comedia,Amigo,Iphone 6s
1282,2016,Profesional,Colombia,suspenso,Redes Sociales,"IPHONE6S, IPHONE 5"
1283,2016,Profesional,Colombia,drama,Amigo,Iphone 6
1284,2016,Profesional,Colombia,drama,Internet,"Iphone 6, Moto G 3ra Generación, Moto G 1ra generación"
1285,2016,Profesional,Colombia,drama,Amigo,HUAWEI G6-LG G3beat-
1286,2016,Profesional,Colombia,terror,Amigo,Iphone 6
1288,2016,Profesional,Colombia,drama,Amigo,Iphone 6
1289,2016,Profesional,Colombia,drama,Amigo,Sony Xperia M4 Aqua
1290,2016,Profesional,Colombia,drama,Amigo,IPHONE 6 PLUSS A-1522
1291,2016,Profesional,Colombia,drama,Televisión,IPHONE 6
1292,2016,Profesional,Colombia,suspenso,Redes Sociales,Iphone 6S y Iphone 4
1293,2016,Profesional,Colombia,ficcion,Prensa,Iphone 5s
1294,2016,Profesional,Canadá,accion,Internet,iPhone 6s
